,natural gas,petroleum,other,solar,hydro
20191113T05Z,2921,0,103,0,18
20191113T04Z,3499,0,105,0,17
20191113T03Z,4115,0,105,0,18
20191113T02Z,4573,0,106,0,18
20191113T01Z,4958,0,105,0,19
20191113T00Z,5269,0,105,0,20
20191112T23Z,5218,0,106,0,37
20191112T22Z,5335,0,102,7,21
20191112T21Z,5378,0,103,7,18
20191112T20Z,5293,0,105,11,19
20191112T19Z,5106,0,104,13,18
20191112T18Z,4739,0,104,18,19
20191112T17Z,4402,0,106,27,19
20191112T16Z,3958,0,104,55,18
20191112T15Z,3560,0,104,59,19
20191112T14Z,3319,0,102,39,18
20191112T13Z,3113,0,101,9,18
20191112T12Z,2768,0,103,0,18
20191112T11Z,2452,0,103,0,18
20191112T10Z,2270,0,103,0,19
20191112T09Z,2234,0,104,0,19
20191112T08Z,2266,0,103,0,18
20191112T07Z,2341,0,106,0,19
20191112T06Z,2492,0,105,0,19
20191112T05Z,2836,0,103,0,18
20191112T04Z,3356,0,101,0,18
20191112T03Z,3745,0,102,0,18
20191112T02Z,4038,0,101,0,17
20191112T01Z,4305,0,99,0,18
20191112T00Z,4411,0,100,0,18
20191111T23Z,4334,0,99,3,36
20191111T22Z,4227,0,97,40,20
20191111T21Z,4193,0,96,42,18
20191111T20Z,4116,14,91,65,18
20191111T19Z,3824,26,88,64,18
20191111T18Z,3745,6,80,68,18
20191111T17Z,3666,0,89,70,18
20191111T16Z,3494,0,86,75,18
20191111T15Z,3265,0,90,75,19
20191111T14Z,3201,0,87,63,20
20191111T13Z,3026,0,92,14,20
20191111T12Z,2625,0,93,0,21
20191111T11Z,2325,0,93,0,20
20191111T10Z,2145,0,95,0,21
20191111T09Z,2115,0,94,0,20
20191111T08Z,2129,0,94,0,21
20191111T07Z,2174,0,96,0,21
20191111T06Z,2275,0,96,0,21
20191111T05Z,2567,0,98,0,20
20191111T04Z,2946,0,95,0,20
20191111T03Z,3228,0,96,0,20
20191111T02Z,3509,0,96,0,20
20191111T01Z,3577,0,97,0,20
20191111T00Z,3740,0,94,0,21
20191110T23Z,3686,0,95,3,36
20191110T22Z,3706,0,95,43,23
20191110T21Z,3608,0,94,73,23
20191110T20Z,3432,0,96,77,22
20191110T19Z,3233,0,97,77,22
20191110T18Z,3067,0,98,76,20
20191110T17Z,3105,0,98,79,20
20191110T16Z,3046,0,98,80,19
20191110T15Z,2923,0,98,82,20
20191110T14Z,2774,0,99,70,19
20191110T13Z,2449,0,94,17,18
20191110T12Z,2149,0,86,0,19
20191110T11Z,2112,0,78,0,19
20191110T10Z,2096,0,80,0,21
20191110T09Z,2123,0,76,0,21
20191110T08Z,2161,0,78,0,21
20191110T07Z,2222,0,81,0,21
20191110T06Z,2322,0,79,0,20
20191110T05Z,2579,0,81,0,21
20191110T04Z,2825,0,80,0,21
20191110T03Z,2969,0,85,0,21
20191110T02Z,3163,0,83,0,21
20191110T01Z,3375,0,71,0,21
20191110T00Z,3347,0,67,0,21
20191109T23Z,3237,0,69,3,38
20191109T22Z,3301,0,66,46,21
20191109T21Z,3341,0,67,76,21
20191109T20Z,3391,0,68,79,21
20191109T19Z,3397,0,65,79,22
20191109T18Z,3287,0,67,77,22
20191109T17Z,3287,0,68,79,21
20191109T16Z,3257,0,66,81,21
20191109T15Z,3151,0,68,80,23
20191109T14Z,3048,0,67,65,25
20191109T13Z,2739,0,68,15,25
20191109T12Z,2461,0,67,0,25
20191109T11Z,2364,0,69,0,25
20191109T10Z,2340,0,67,0,25
20191109T09Z,2366,0,69,0,25
20191109T08Z,2474,0,66,0,25
20191109T07Z,2560,0,69,0,25
20191109T06Z,2729,0,65,0,24
20191109T05Z,2982,0,65,0,25
20191109T04Z,3004,0,67,0,25
20191109T03Z,3200,0,65,0,25
20191109T02Z,3358,0,66,0,24
20191109T01Z,3654,0,65,0,21
20191109T00Z,3954,0,64,0,21
20191108T23Z,3957,0,62,0,37
20191108T22Z,3961,21,64,2,25
20191108T21Z,4129,26,67,8,25
20191108T20Z,4307,26,68,10,25
20191108T19Z,4643,25,67,23,25
20191108T18Z,4642,26,69,32,25
20191108T17Z,4559,11,70,30,25
20191108T16Z,4314,12,67,16,25
20191108T15Z,3971,0,67,13,24
20191108T14Z,3623,0,69,6,25
20191108T13Z,3451,0,68,1,26
20191108T12Z,3200,0,68,0,25
20191108T11Z,2875,0,70,0,24
20191108T10Z,2697,0,68,0,24
20191108T09Z,2701,0,66,0,25
20191108T08Z,2802,0,67,0,24
20191108T07Z,2888,0,68,0,24
20191108T06Z,3083,0,66,0,24
20191108T05Z,2867,0,67,0,24
20191108T04Z,3673,0,64,0,24
20191108T03Z,4620,0,66,0,24
20191108T02Z,4840,19,65,0,25
20191108T01Z,4953,26,66,0,25
20191108T00Z,5563,29,65,0,27
20191107T23Z,5856,156,66,1,35
20191107T22Z,5863,431,68,15,25
20191107T21Z,5872,503,66,36,26
20191107T20Z,5884,472,54,65,26
20191107T19Z,5878,340,49,45,27
20191107T18Z,5828,64,51,37,28
20191107T17Z,5304,25,53,24,28
20191107T16Z,4484,1,50,18,28
20191107T15Z,3846,0,50,11,28
20191107T14Z,3351,0,49,5,28
20191107T13Z,3084,0,50,2,29
20191107T12Z,2702,0,50,0,28
20191107T11Z,2348,0,50,0,28
20191107T10Z,2179,0,51,0,29
20191107T09Z,2155,0,51,0,28
20191107T08Z,2233,0,50,0,28
20191107T07Z,2333,0,50,0,28
20191107T06Z,2497,0,49,0,29
20191107T05Z,3283,0,50,0,29
20191107T04Z,3757,0,51,0,28
20191107T03Z,4477,0,50,0,30
20191107T02Z,5048,0,51,0,29
20191107T01Z,5449,17,50,0,29
20191107T00Z,5777,26,51,0,29
20191106T23Z,5866,26,49,2,38
20191106T22Z,5938,25,50,30,29
20191106T21Z,6034,27,51,36,30
20191106T20Z,5852,26,49,62,29
20191106T19Z,5626,26,51,74,29
20191106T18Z,5365,7,50,68,29
20191106T17Z,4986,0,51,64,29
20191106T16Z,4523,0,50,64,29
20191106T15Z,4121,0,52,56,30
20191106T14Z,3880,0,50,14,29
20191106T13Z,3596,0,51,2,28
20191106T12Z,3300,0,50,0,29
20191106T11Z,2937,0,50,0,28
20191106T10Z,2701,0,50,0,29
20191106T09Z,2701,0,50,0,28
20191106T08Z,2762,0,50,0,28
20191106T07Z,2858,0,49,0,28
20191106T06Z,3004,0,50,0,27
20191106T05Z,3378,0,50,0,28
20191106T04Z,3885,0,51,0,27
20191106T03Z,4583,0,51,0,27
20191106T02Z,5174,0,51,0,28
20191106T01Z,5514,0,49,0,28
20191106T00Z,5666,0,50,0,27
20191105T23Z,5539,0,51,1,38
20191105T22Z,5543,12,51,13,29
20191105T21Z,5553,80,50,17,29
20191105T20Z,5828,0,49,33,29
20191105T19Z,5923,0,50,16,29
20191105T18Z,5861,0,48,29,30
20191105T17Z,5444,0,52,36,29
20191105T16Z,4934,0,48,17,29
20191105T15Z,4368,0,50,14,28
20191105T14Z,3896,0,48,14,25
20191105T13Z,3506,0,49,5,24
20191105T12Z,3202,0,51,0,25
20191105T11Z,2859,0,50,0,25
20191105T10Z,2691,0,49,0,24
20191105T09Z,2672,0,49,0,25
20191105T08Z,2749,0,47,0,25
20191105T07Z,2853,0,48,0,24
20191105T06Z,3103,0,49,0,25
20191105T05Z,3405,0,49,0,25
20191105T04Z,3945,0,51,0,25
20191105T03Z,4531,0,49,0,25
20191105T02Z,5073,0,48,0,25
20191105T01Z,5480,0,49,0,24
20191105T00Z,5613,0,49,0,11
20191104T23Z,5533,0,50,1,0
20191104T22Z,5509,0,48,11,0
20191104T21Z,5539,0,49,19,0
20191104T20Z,5615,0,48,22,0
20191104T19Z,5488,0,46,35,0
20191104T18Z,5178,0,47,46,0
20191104T17Z,4790,0,50,60,0
20191104T16Z,4450,0,49,47,0
20191104T15Z,3953,0,46,44,4
20191104T14Z,3607,0,49,48,24
20191104T13Z,3387,0,48,14,25
20191104T12Z,3061,0,49,0,25
20191104T11Z,2646,0,50,0,25
20191104T10Z,2434,0,47,0,25
20191104T09Z,2357,0,49,0,25
20191104T08Z,2342,0,50,0,25
20191104T07Z,2381,0,46,0,25
20191104T06Z,2538,0,49,0,25
20191104T05Z,2656,0,50,0,24
20191104T04Z,3076,0,49,0,25
20191104T03Z,3574,0,49,0,25
20191104T02Z,4036,0,50,0,25
20191104T01Z,4362,0,49,0,24
20191104T00Z,4607,0,49,0,25
20191103T23Z,4510,0,50,3,25
20191103T22Z,4455,0,49,45,25
20191103T21Z,4427,0,49,71,25
20191103T20Z,4388,0,48,75,25
20191103T19Z,4310,0,48,78,25
20191103T18Z,4143,0,49,78,25
20191103T17Z,3842,0,51,77,25
20191103T16Z,3585,0,49,81,25
20191103T15Z,3418,0,48,82,25
20191103T14Z,3315,0,48,73,25
20191103T13Z,2961,0,50,21,25
20191103T12Z,2702,0,47,0,25
20191103T11Z,2559,0,48,0,25
20191103T10Z,2537,0,49,0,25
20191103T09Z,2575,0,51,0,26
20191103T08Z,2652,0,47,0,25
20191103T07Z,2769,0,47,0,25
20191103T06Z,2944,0,49,0,25
20191103T05Z,3212,0,47,0,25
20191103T04Z,3356,0,50,0,25
20191103T03Z,3738,0,50,0,25
20191103T02Z,4176,0,49,0,25
20191103T01Z,4577,0,48,0,25
20191103T00Z,4927,0,50,0,25
20191102T23Z,5184,0,49,5,25
20191102T22Z,5472,0,48,44,26
20191102T21Z,5643,0,48,76,25
20191102T20Z,5668,0,48,79,26
20191102T19Z,5602,0,47,78,25
20191102T18Z,5361,0,49,55,25
20191102T17Z,4992,0,46,38,26
20191102T16Z,4522,0,50,24,25
20191102T15Z,3844,0,49,11,24
20191102T14Z,3678,0,49,11,26
20191102T13Z,3414,0,48,2,25
20191102T12Z,3197,0,49,0,26
20191102T11Z,2955,0,47,0,26
20191102T10Z,2790,0,50,0,25
20191102T09Z,2733,0,48,0,26
20191102T08Z,2757,0,49,0,26
20191102T07Z,2849,0,46,0,26
20191102T06Z,3017,0,47,0,26
20191102T05Z,3270,0,47,0,25
20191102T04Z,3774,0,50,0,26
20191102T03Z,4198,0,38,0,26
20191102T02Z,4697,0,41,0,23
20191102T01Z,5058,0,49,0,22
20191102T00Z,5219,0,48,0,27
20191101T23Z,5348,0,47,7,27
20191101T22Z,5536,0,47,52,27
20191101T21Z,5694,0,49,81,27
20191101T20Z,5656,0,49,82,28
20191101T19Z,5412,0,49,83,28
20191101T18Z,5187,0,48,82,28
20191101T17Z,4792,42,48,84,27
20191101T16Z,4515,73,50,84,26
20191101T15Z,4324,22,48,84,26
20191101T14Z,4143,0,48,75,25
20191101T13Z,4075,0,49,21,25
20191101T12Z,4298,0,49,0,25
20191101T11Z,4001,0,50,0,26
20191101T10Z,3605,0,49,0,25
20191101T09Z,3507,0,48,0,25
20191101T08Z,3566,0,48,0,26
20191101T07Z,3713,0,49,0,25
20191101T06Z,3971,0,49,0,25
20191101T05Z,4398,0,48,0,25
20191101T04Z,4591,0,50,0,25
20191101T03Z,5185,0,49,0,26
20191101T02Z,5807,0,52,0,26
20191101T01Z,6132,0,51,0,26
20191101T00Z,6438,0,51,0,26
20191031T23Z,6889,38,50,2,26
20191031T22Z,7163,294,51,32,26
20191031T21Z,7183,447,50,51,25
20191031T20Z,7139,396,50,56,25
20191031T19Z,7058,282,49,64,25
20191031T18Z,6941,70,49,56,24
20191031T17Z,6490,0,48,44,24
20191031T16Z,5925,0,54,65,24
20191031T15Z,5299,0,51,71,22
20191031T14Z,4864,0,50,63,21
20191031T13Z,4594,0,50,19,20
20191031T12Z,4508,0,51,0,21
20191031T11Z,4140,0,50,0,20
20191031T10Z,3630,0,49,0,21
20191031T09Z,3433,0,50,0,21
20191031T08Z,3459,0,50,0,21
20191031T07Z,3659,0,49,0,20
20191031T06Z,3932,0,50,0,21
20191031T05Z,4370,0,50,0,21
20191031T04Z,4090,0,50,0,19
20191031T03Z,4554,0,50,0,20
20191031T02Z,5120,0,49,0,20
20191031T01Z,5614,0,49,0,19
20191031T00Z,6002,0,50,0,20
20191030T23Z,6197,28,50,2,19
20191030T22Z,6370,274,50,11,20
20191030T21Z,6487,436,50,19,19
20191030T20Z,6480,326,49,40,20
20191030T19Z,6401,62,50,48,21
20191030T18Z,6894,0,50,50,22
20191030T17Z,6029,0,49,36,22
20191030T16Z,5533,0,54,25,24
20191030T15Z,5139,0,50,17,24
20191030T14Z,4685,0,50,14,23
20191030T13Z,4497,0,51,8,23
20191030T12Z,4377,0,49,0,24
20191030T11Z,4119,0,49,0,24
20191030T10Z,3718,0,49,0,23
20191030T09Z,3566,0,49,0,24
20191030T08Z,3569,0,49,0,23
20191030T07Z,3758,0,50,0,24
20191030T06Z,4004,0,50,0,23
20191030T05Z,4341,0,50,0,24
20191030T04Z,4539,0,49,0,23
20191030T03Z,5041,0,51,0,24
20191030T02Z,5661,0,49,0,23
20191030T01Z,6218,0,50,0,24
20191030T00Z,6437,31,49,0,23
20191029T23Z,6340,135,49,2,24
20191029T22Z,6513,582,50,19,23
20191029T21Z,6502,885,50,23,23
20191029T20Z,6499,886,50,3,24
20191029T19Z,6492,765,49,4,23
20191029T18Z,6437,461,50,31,24
20191029T17Z,6258,32,50,53,23
20191029T16Z,5626,10,53,41,24
20191029T15Z,5159,0,49,43,23
20191029T14Z,4757,0,51,27,24
20191029T13Z,4616,0,49,12,23
20191029T12Z,4541,0,50,1,24
20191029T11Z,4179,0,50,0,23
20191029T10Z,3747,0,49,0,24
20191029T09Z,3560,0,50,0,23
20191029T08Z,3578,0,49,0,23
20191029T07Z,3705,0,48,0,23
20191029T06Z,3977,0,50,0,24
20191029T05Z,4422,0,50,0,23
20191029T04Z,4702,0,49,0,23
20191029T03Z,5301,0,50,0,23
20191029T02Z,5942,0,47,0,24
20191029T01Z,6446,111,49,0,23
20191029T00Z,6487,490,51,0,24
20191028T23Z,6491,596,50,1,23
20191028T22Z,6500,737,50,12,24
20191028T21Z,6501,719,48,21,23
20191028T20Z,6496,744,50,20,24
20191028T19Z,6499,650,49,35,23
20191028T18Z,6522,444,50,68,24
20191028T17Z,6401,34,49,74,23
20191028T16Z,5802,0,55,56,24
20191028T15Z,5292,0,49,46,23
20191028T14Z,4797,0,50,53,23
20191028T13Z,4573,0,49,17,24
20191028T12Z,4442,0,51,0,23
20191028T11Z,4023,0,50,0,23
20191028T10Z,3503,0,50,0,23
20191028T09Z,3275,0,49,0,24
20191028T08Z,3288,0,51,0,23
20191028T07Z,3466,0,49,0,24
20191028T06Z,3744,0,49,0,23
20191028T05Z,4133,0,50,0,24
20191028T04Z,4501,0,50,0,23
20191028T03Z,5058,0,50,0,23
20191028T02Z,5520,0,50,0,24
20191028T01Z,5955,0,50,0,23
20191028T00Z,6202,0,49,0,24
20191027T23Z,6117,0,50,5,23
20191027T22Z,6197,0,56,46,24
20191027T21Z,6290,0,67,68,23
20191027T20Z,6319,0,67,62,24
20191027T19Z,6227,0,69,53,24
20191027T18Z,5937,0,67,52,23
20191027T17Z,5433,0,68,47,24
20191027T16Z,5024,0,73,57,24
20191027T15Z,4757,0,69,23,24
20191027T14Z,4430,0,69,9,25
20191027T13Z,4003,0,68,4,25
20191027T12Z,3656,0,68,0,25
20191027T11Z,3330,0,68,0,24
20191027T10Z,3247,0,66,0,25
20191027T09Z,3225,0,60,0,24
20191027T08Z,3271,0,67,0,25
20191027T07Z,3394,0,66,0,24
20191027T06Z,3611,0,68,0,25
20191027T05Z,3849,0,66,0,25
20191027T04Z,4021,0,68,0,25
20191027T03Z,4371,0,67,0,24
20191027T02Z,4720,0,68,0,25
20191027T01Z,5050,0,65,0,25
20191027T00Z,5306,0,66,0,24
20191026T23Z,5399,0,68,1,25
20191026T22Z,5766,0,67,18,25
20191026T21Z,5932,0,66,47,24
20191026T20Z,5922,0,67,22,25
20191026T19Z,5973,0,67,46,25
20191026T18Z,5926,0,68,64,24
20191026T17Z,5853,0,67,61,25
20191026T16Z,5406,0,71,54,25
20191026T15Z,4932,0,68,49,24
20191026T14Z,4469,0,67,55,26
20191026T13Z,4116,0,67,18,26
20191026T12Z,3724,0,67,0,25
20191026T11Z,3405,0,67,0,26
20191026T10Z,3259,0,68,0,26
20191026T09Z,3218,0,67,0,26
20191026T08Z,3268,0,67,0,26
20191026T07Z,3384,0,65,0,26
20191026T06Z,3556,0,64,0,25
20191026T05Z,3873,0,65,0,26
20191026T04Z,4119,0,64,0,26
20191026T03Z,4395,0,65,0,26
20191026T02Z,4821,0,63,0,26
20191026T01Z,5218,0,63,0,26
20191026T00Z,5462,0,63,0,26
20191025T23Z,5746,0,63,3,26
20191025T22Z,6075,0,70,13,26
20191025T21Z,6238,0,81,32,26
20191025T20Z,6307,0,79,54,26
20191025T19Z,6347,0,79,41,26
20191025T18Z,6195,0,72,41,26
20191025T17Z,5883,0,79,46,28
20191025T16Z,5476,0,81,50,27
20191025T15Z,4948,0,81,59,27
20191025T14Z,4708,0,87,36,24
20191025T13Z,4544,0,90,24,23
20191025T12Z,4343,0,87,0,23
20191025T11Z,3964,0,88,0,23
20191025T10Z,3535,0,87,0,23
20191025T09Z,3358,0,86,0,23
20191025T08Z,3381,0,87,0,23
20191025T07Z,3482,0,87,0,23
20191025T06Z,3709,0,87,0,23
20191025T05Z,4001,0,87,0,23
20191025T04Z,4214,0,86,0,23
20191025T03Z,4687,0,87,0,23
20191025T02Z,5293,0,87,0,23
20191025T01Z,5824,0,83,0,22
20191025T00Z,6068,0,75,0,23
20191024T23Z,6203,0,74,3,23
20191024T22Z,6458,57,74,18,25
20191024T21Z,6570,5,72,18,24
20191024T20Z,6480,0,72,43,24
20191024T19Z,6226,0,72,63,24
20191024T18Z,5742,0,74,52,22
20191024T17Z,5264,0,74,49,22
20191024T16Z,5097,0,75,25,21
20191024T15Z,4585,0,74,14,22
20191024T14Z,4213,0,73,9,22
20191024T13Z,4062,0,74,1,21
20191024T12Z,3925,0,74,0,22
20191024T11Z,3479,0,74,0,22
20191024T10Z,3032,0,74,0,23
20191024T09Z,2801,0,72,0,23
20191024T08Z,2768,0,69,0,24
20191024T07Z,2832,0,73,0,24
20191024T06Z,2952,0,77,0,24
20191024T05Z,3248,0,69,0,24
20191024T04Z,3581,0,79,0,24
20191024T03Z,4281,0,88,0,23
20191024T02Z,4775,0,87,0,24
20191024T01Z,5180,0,89,0,25
20191024T00Z,5405,0,86,0,24
20191023T23Z,5470,0,86,10,25
20191023T22Z,5669,0,86,58,25
20191023T21Z,5729,0,84,68,27
20191023T20Z,5573,0,87,65,22
20191023T19Z,5293,0,87,70,23
20191023T18Z,4925,0,87,73,21
20191023T17Z,4584,0,86,76,22
20191023T16Z,4277,0,93,76,22
20191023T15Z,4120,0,86,72,21
20191023T14Z,3878,0,83,68,23
20191023T13Z,3836,0,88,25,22
20191023T12Z,3790,0,87,0,22
20191023T11Z,3513,0,87,0,23
20191023T10Z,3217,0,89,0,24
20191023T09Z,3070,0,87,0,25
20191023T08Z,3153,0,85,0,24
20191023T07Z,3348,0,84,0,24
20191023T06Z,3559,0,81,0,24
20191023T05Z,3875,0,78,0,23
20191023T04Z,4205,0,86,0,22
20191023T03Z,4831,0,86,0,22
20191023T02Z,5390,0,87,0,22
20191023T01Z,6056,0,86,0,23
20191023T00Z,6700,0,80,0,22
20191022T23Z,6984,0,75,8,23
20191022T22Z,7418,0,90,31,23
20191022T21Z,7551,0,98,47,22
20191022T20Z,7589,0,102,40,23
20191022T19Z,7376,0,101,51,23
20191022T18Z,7036,0,104,33,24
20191022T17Z,6363,0,108,12,23
20191022T16Z,5592,0,112,41,24
20191022T15Z,5021,0,109,20,24
20191022T14Z,4758,0,111,12,23
20191022T13Z,4666,0,112,14,22
20191022T12Z,4464,0,112,1,21
20191022T11Z,4034,0,110,0,22
20191022T10Z,3578,0,110,0,21
20191022T09Z,3392,0,110,0,21
20191022T08Z,3363,0,109,0,21
20191022T07Z,3401,0,109,0,21
20191022T06Z,3581,0,108,0,20
20191022T05Z,3870,0,104,0,22
20191022T04Z,4193,0,97,0,22
20191022T03Z,4696,0,108,0,22
20191022T02Z,5279,0,112,0,23
20191022T01Z,5685,0,112,0,22
20191022T00Z,6033,0,110,0,23
20191021T23Z,6053,0,109,2,22
20191021T22Z,6262,0,107,16,23
20191021T21Z,6117,0,108,44,23
20191021T20Z,6015,0,109,49,23
20191021T19Z,6093,0,109,21,22
20191021T18Z,5963,0,109,33,22
20191021T17Z,5351,0,109,53,21
20191021T16Z,4784,0,114,55,21
20191021T15Z,4433,0,111,57,19
20191021T14Z,4270,0,111,63,17
20191021T13Z,4215,0,112,27,16
20191021T12Z,4070,0,112,1,16
20191021T11Z,3715,0,114,0,17
20191021T10Z,3311,0,115,0,16
20191021T09Z,3057,0,114,0,17
20191021T08Z,3027,0,114,0,16
20191021T07Z,3101,0,112,0,16
20191021T06Z,3261,0,114,0,17
20191021T05Z,3532,0,111,0,16
20191021T04Z,3817,0,114,0,17
20191021T03Z,4277,0,111,0,17
20191021T02Z,4730,0,112,0,17
20191021T01Z,5275,0,114,0,17
20191021T00Z,5702,0,111,0,18
20191020T23Z,6016,0,113,10,17
20191020T22Z,6438,0,109,57,26
20191020T21Z,6566,0,112,76,17
20191020T20Z,6473,0,113,80,17
20191020T19Z,6221,0,109,75,18
20191020T18Z,5903,0,113,48,17
20191020T17Z,5439,0,113,42,18
20191020T16Z,4945,0,119,30,17
20191020T15Z,4652,0,114,24,18
20191020T14Z,4331,0,116,9,16
20191020T13Z,3829,0,114,3,14
20191020T12Z,3478,0,115,0,13
20191020T11Z,3317,0,113,0,14
20191020T10Z,3242,0,114,0,14
20191020T09Z,3238,0,110,0,15
20191020T08Z,3321,0,114,0,15
20191020T07Z,3446,0,114,0,15
20191020T06Z,3678,0,112,0,16
20191020T05Z,3928,0,112,0,15
20191020T04Z,4142,0,112,0,15
20191020T03Z,4407,0,112,0,16
20191020T02Z,4587,0,109,0,15
20191020T01Z,4803,0,112,0,15
20191020T00Z,4962,0,113,0,15
20191019T23Z,5011,0,114,3,16
20191019T22Z,5203,0,114,13,15
20191019T21Z,5240,0,112,16,15
20191019T20Z,5106,0,113,19,16
20191019T19Z,4843,0,112,25,15
20191019T18Z,4604,0,110,34,17
20191019T17Z,4639,0,114,15,16
20191019T16Z,4719,0,117,6,16
20191019T15Z,4560,0,112,4,17
20191019T14Z,4306,0,111,7,16
20191019T13Z,3943,0,111,2,16
20191019T12Z,3533,0,111,0,17
20191019T11Z,3312,0,112,0,16
20191019T10Z,3163,0,113,0,16
20191019T09Z,3116,0,110,0,15
20191019T08Z,3125,0,112,0,16
20191019T07Z,3203,0,110,0,15
20191019T06Z,3325,0,111,0,15
20191019T05Z,3471,0,112,0,16
20191019T04Z,3716,0,113,0,14
20191019T03Z,4110,0,112,0,14
20191019T02Z,4413,0,113,0,15
20191019T01Z,4579,0,112,0,14
20191019T00Z,4666,0,113,0,14
20191018T23Z,4601,0,112,0,14
20191018T22Z,4645,0,114,3,14
20191018T21Z,4714,0,113,9,15
20191018T20Z,4876,0,113,15,14
20191018T19Z,4775,0,109,28,14
20191018T18Z,4515,0,104,40,14
20191018T17Z,4505,0,104,38,15
20191018T16Z,4381,0,110,28,15
20191018T15Z,4210,0,105,13,16
20191018T14Z,4019,0,103,10,16
20191018T13Z,3869,0,99,4,15
20191018T12Z,3701,0,113,0,16
20191018T11Z,3318,0,114,0,16
20191018T10Z,2975,0,115,0,16
20191018T09Z,2810,0,113,0,16
20191018T08Z,2793,0,114,0,16
20191018T07Z,2910,0,114,0,16
20191018T06Z,3117,0,112,0,16
20191018T05Z,3421,0,112,0,16
20191018T04Z,3711,0,106,0,16
20191018T03Z,4220,0,106,0,16
20191018T02Z,4568,0,107,0,16
20191018T01Z,4963,0,107,0,16
20191018T00Z,5128,0,107,0,16
20191017T23Z,5289,0,106,5,16
20191017T22Z,5706,0,108,17,16
20191017T21Z,5889,0,106,45,16
20191017T20Z,5788,0,108,49,17
20191017T19Z,5537,0,103,66,17
20191017T18Z,5297,0,108,67,17
20191017T17Z,4809,0,109,76,17
20191017T16Z,4542,0,109,60,17
20191017T15Z,4371,0,107,65,16
20191017T14Z,4266,0,107,46,15
20191017T13Z,4239,0,108,13,15
20191017T12Z,4189,0,108,0,16
20191017T11Z,3818,0,107,0,15
20191017T10Z,3435,0,108,0,16
20191017T09Z,3276,0,107,0,16
20191017T08Z,3278,0,107,0,15
20191017T07Z,3402,0,107,0,15
20191017T06Z,3585,0,107,0,15
20191017T05Z,3888,0,106,0,14
20191017T04Z,4160,0,105,0,15
20191017T03Z,4841,0,106,0,14
20191017T02Z,5477,0,106,0,14
20191017T01Z,5972,0,107,0,13
20191017T00Z,6122,0,106,0,13
20191016T23Z,6328,0,102,1,14
20191016T22Z,6610,0,91,2,15
20191016T21Z,6937,0,78,26,14
20191016T20Z,7072,0,78,26,14
20191016T19Z,7028,0,76,27,14
20191016T18Z,7006,0,74,28,13
20191016T17Z,6490,0,68,27,13
20191016T16Z,5833,13,60,27,13
20191016T15Z,5266,0,59,28,13
20191016T14Z,4719,0,60,25,13
20191016T13Z,4513,0,60,12,12
20191016T12Z,4422,0,60,0,13
20191016T11Z,3977,0,59,0,13
20191016T10Z,3601,0,59,0,14
20191016T09Z,3391,0,60,0,13
20191016T08Z,3390,0,59,0,14
20191016T07Z,3506,0,59,0,14
20191016T06Z,3698,0,60,0,14
20191016T05Z,3994,0,59,0,15
20191016T04Z,4287,0,59,0,15
20191016T03Z,4856,0,59,0,16
20191016T02Z,5553,0,59,0,13
20191016T01Z,6155,0,62,0,13
20191016T00Z,6467,0,61,0,12
20191015T23Z,6597,0,62,1,13
20191015T22Z,6756,0,61,1,13
20191015T21Z,6865,0,109,4,13
20191015T20Z,6803,0,111,32,12
20191015T19Z,6535,0,111,39,13
20191015T18Z,6340,0,109,35,13
20191015T17Z,5923,0,109,47,13
20191015T16Z,5315,0,108,31,13
20191015T15Z,4730,0,78,48,13
20191015T14Z,4571,0,83,16,13
20191015T13Z,4316,0,114,4,14
20191015T12Z,4108,0,113,0,13
20191015T11Z,3721,0,111,0,13
20191015T10Z,3349,0,112,0,13
20191015T09Z,3141,0,111,0,13
20191015T08Z,3140,0,111,0,13
20191015T07Z,3257,0,110,0,14
20191015T06Z,3461,0,110,0,13
20191015T05Z,3770,0,111,0,13
20191015T04Z,4087,0,109,0,13
20191015T03Z,4687,0,110,0,13
20191015T02Z,5492,0,111,0,13
20191015T01Z,6123,0,110,0,13
20191015T00Z,6579,0,110,0,13
20191014T23Z,6890,0,108,2,13
20191014T22Z,7252,0,110,33,13
20191014T21Z,7275,0,105,37,13
20191014T20Z,7134,0,106,35,13
20191014T19Z,6845,0,104,72,13
20191014T18Z,6544,0,106,59,14
20191014T17Z,5969,0,97,75,13
20191014T16Z,5255,25,104,68,13
20191014T15Z,4621,34,100,76,13
20191014T14Z,4282,0,103,67,14
20191014T13Z,4049,0,108,28,13
20191014T12Z,3809,0,110,1,14
20191014T11Z,3537,0,107,0,14
20191014T10Z,3201,0,110,0,13
20191014T09Z,3015,0,105,0,14
20191014T08Z,3011,0,103,0,14
20191014T07Z,3107,0,98,0,13
20191014T06Z,3303,0,97,0,14
20191014T05Z,3583,0,94,0,14
20191014T04Z,3849,0,95,0,14
20191014T03Z,4310,0,96,0,14
20191014T02Z,4946,0,101,0,14
20191014T01Z,5496,0,103,0,13
20191014T00Z,5923,0,107,0,14
20191013T23Z,6219,0,110,13,14
20191013T22Z,6463,0,109,52,13
20191013T21Z,6430,0,111,54,14
20191013T20Z,6321,0,110,75,14
20191013T19Z,6056,0,110,59,13
20191013T18Z,5677,0,109,49,14
20191013T17Z,5145,0,110,64,15
20191013T16Z,4547,0,114,68,14
20191013T15Z,4100,0,110,80,14
