,other,hydro
20191113T06Z,235,610
20191113T05Z,236,605
20191113T04Z,235,608
20191113T03Z,235,632
20191113T02Z,235,724
20191113T01Z,235,802
20191113T00Z,235,816
20191112T23Z,234,777
20191112T22Z,234,773
20191112T21Z,231,734
20191112T20Z,231,685
20191112T19Z,234,685
20191112T18Z,235,743
20191112T17Z,235,828
20191112T16Z,234,1021
20191112T15Z,235,1053
20191112T14Z,235,1055
20191112T13Z,235,1035
20191112T12Z,234,1063
20191112T11Z,235,563
20191112T10Z,236,512
20191112T09Z,236,514
20191112T08Z,235,511
20191112T07Z,236,515
20191112T06Z,235,521
20191112T05Z,230,525
20191112T04Z,231,875
20191112T03Z,236,1070
20191112T02Z,235,1093
20191112T01Z,236,1096
20191112T00Z,236,1089
20191111T23Z,235,683
20191111T22Z,234,580
20191111T21Z,235,576
20191111T20Z,234,567
20191111T19Z,235,550
20191111T18Z,234,547
20191111T17Z,235,549
20191111T16Z,234,523
20191111T15Z,234,527
20191111T14Z,235,525
20191111T13Z,234,525
20191111T12Z,207,530
20191111T11Z,198,535
20191111T10Z,196,535
20191111T09Z,196,525
20191111T08Z,195,526
20191111T07Z,196,524
20191111T06Z,204,543
20191111T05Z,199,549
20191111T04Z,221,548
20191111T03Z,224,545
20191111T02Z,235,547
20191111T01Z,236,588
20191111T00Z,234,598
20191110T23Z,235,597
20191110T22Z,235,624
20191110T21Z,234,618
20191110T20Z,233,622
20191110T19Z,235,614
20191110T18Z,234,610
20191110T17Z,234,608
20191110T16Z,235,613
20191110T15Z,233,582
20191110T14Z,224,578
20191110T13Z,224,582
20191110T12Z,222,548
20191110T11Z,203,549
20191110T10Z,201,546
20191110T09Z,203,548
20191110T08Z,204,550
20191110T07Z,204,551
20191110T06Z,204,546
20191110T05Z,206,544
20191110T04Z,208,543
20191110T03Z,235,557
20191110T02Z,235,554
20191110T01Z,234,531
20191110T00Z,235,472
20191109T23Z,230,501
20191109T22Z,222,502
20191109T21Z,222,499
20191109T20Z,225,496
20191109T19Z,228,506
20191109T18Z,227,498
20191109T17Z,232,518
20191109T16Z,235,558
20191109T15Z,234,598
20191109T14Z,236,600
20191109T13Z,236,587
20191109T12Z,233,584
20191109T11Z,211,541
20191109T10Z,210,542
20191109T09Z,209,544
20191109T08Z,210,549
20191109T07Z,210,551
20191109T06Z,209,509
20191109T05Z,234,505
20191109T04Z,232,502
20191109T03Z,235,504
20191109T02Z,236,504
20191109T01Z,237,502
20191109T00Z,236,506
20191108T23Z,236,508
20191108T22Z,237,544
20191108T21Z,236,545
20191108T20Z,235,545
20191108T19Z,236,548
20191108T18Z,236,642
20191108T17Z,236,999
20191108T16Z,238,1017
20191108T15Z,236,1009
20191108T14Z,236,1012
20191108T13Z,236,1008
20191108T12Z,236,677
20191108T11Z,237,494
20191108T10Z,236,438
20191108T09Z,237,437
20191108T08Z,236,436
20191108T07Z,236,436
20191108T06Z,236,437
20191108T05Z,236,443
20191108T04Z,236,767
20191108T03Z,235,884
20191108T02Z,237,1028
20191108T01Z,236,1041
20191108T00Z,236,1038
20191107T23Z,237,891
20191107T22Z,236,479
20191107T21Z,236,470
20191107T20Z,236,476
20191107T19Z,236,528
20191107T18Z,236,460
20191107T17Z,236,458
20191107T16Z,236,508
20191107T15Z,235,574
20191107T14Z,234,602
20191107T13Z,233,591
20191107T12Z,205,592
20191107T11Z,176,596
20191107T10Z,174,596
20191107T09Z,174,594
20191107T08Z,174,595
20191107T07Z,175,596
20191107T06Z,174,649
20191107T05Z,175,650
20191107T04Z,176,684
20191107T03Z,190,689
20191107T02Z,191,683
20191107T01Z,200,685
20191107T00Z,200,701
20191106T23Z,200,698
20191106T22Z,199,581
20191106T21Z,181,576
20191106T20Z,182,571
20191106T19Z,152,655
20191106T18Z,151,661
20191106T17Z,151,657
20191106T16Z,150,784
20191106T15Z,149,991
20191106T14Z,138,964
20191106T13Z,135,748
20191106T12Z,135,743
20191106T11Z,133,706
20191106T10Z,125,712
20191106T09Z,121,717
20191106T08Z,111,707
20191106T07Z,111,714
20191106T06Z,94,713
20191106T05Z,94,731
20191106T04Z,64,778
20191106T03Z,27,875
20191106T02Z,0,880
20191106T01Z,0,876
20191106T00Z,0,830
20191105T23Z,0,731
20191105T22Z,0,688
20191105T21Z,0,703
20191105T20Z,0,703
20191105T19Z,0,708
20191105T18Z,0,825
20191105T17Z,0,1042
20191105T16Z,0,1040
20191105T15Z,0,1072
20191105T14Z,0,1071
20191105T13Z,0,1063
20191105T12Z,0,724
20191105T11Z,0,690
20191105T10Z,0,689
20191105T09Z,0,689
20191105T08Z,0,687
20191105T07Z,0,688
20191105T06Z,0,684
20191105T05Z,0,681
20191105T04Z,0,684
20191105T03Z,0,843
20191105T02Z,0,896
20191105T01Z,0,928
20191105T00Z,0,846
20191104T23Z,0,709
20191104T22Z,0,707
20191104T21Z,0,707
20191104T20Z,0,710
20191104T19Z,0,730
20191104T18Z,0,732
20191104T17Z,0,838
20191104T16Z,0,844
20191104T15Z,0,910
20191104T14Z,0,1005
20191104T13Z,0,991
20191104T12Z,0,1005
20191104T11Z,0,865
20191104T10Z,0,863
20191104T09Z,0,863
20191104T08Z,0,864
20191104T07Z,0,864
20191104T06Z,0,803
20191104T05Z,0,799
20191104T04Z,0,799
20191104T03Z,0,964
20191104T02Z,0,968
20191104T01Z,26,966
20191104T00Z,44,964
20191103T23Z,69,971
20191103T22Z,93,969
20191103T21Z,122,968
20191103T20Z,124,999
20191103T19Z,144,998
20191103T18Z,175,996
20191103T17Z,178,894
20191103T16Z,184,885
20191103T15Z,183,799
20191103T14Z,184,798
20191103T13Z,185,802
20191103T12Z,199,799
20191103T11Z,200,801
20191103T10Z,200,799
20191103T09Z,201,798
20191103T08Z,191,795
20191103T07Z,175,799
20191103T06Z,175,798
20191103T05Z,176,796
20191103T04Z,178,796
20191103T03Z,199,800
20191103T02Z,201,798
20191103T01Z,200,801
20191103T00Z,200,799
20191102T23Z,200,892
20191102T22Z,201,892
20191102T21Z,200,1001
20191102T20Z,200,1007
20191102T19Z,199,1005
20191102T18Z,197,1004
20191102T17Z,201,1004
20191102T16Z,200,1000
20191102T15Z,201,999
20191102T14Z,201,999
20191102T13Z,201,1002
20191102T12Z,200,996
20191102T11Z,201,805
20191102T10Z,200,797
20191102T09Z,200,794
20191102T08Z,200,798
20191102T07Z,201,796
20191102T06Z,201,796
20191102T05Z,192,844
20191102T04Z,193,843
20191102T03Z,196,840
20191102T02Z,201,840
20191102T01Z,200,842
20191102T00Z,200,841
20191101T23Z,201,842
20191101T22Z,200,844
20191101T21Z,201,942
20191101T20Z,199,938
20191101T19Z,200,916
20191101T18Z,201,946
20191101T17Z,201,928
20191101T16Z,201,936
20191101T15Z,197,930
20191101T14Z,200,946
20191101T13Z,199,1090
20191101T12Z,200,981
20191101T11Z,200,766
20191101T10Z,201,705
20191101T09Z,200,702
20191101T08Z,200,704
20191101T07Z,176,703
20191101T06Z,176,703
20191101T05Z,185,701
20191101T04Z,189,703
20191101T03Z,195,702
20191101T02Z,200,705
20191101T01Z,200,865
20191101T00Z,201,893
20191031T23Z,200,834
20191031T22Z,201,802
20191031T21Z,201,820
20191031T20Z,201,726
20191031T19Z,201,721
20191031T18Z,200,637
20191031T17Z,201,666
20191031T16Z,201,846
20191031T15Z,201,966
20191031T14Z,200,941
20191031T13Z,202,941
20191031T12Z,201,930
20191031T11Z,200,692
20191031T10Z,182,598
20191031T09Z,178,601
20191031T08Z,177,602
20191031T07Z,177,608
20191031T06Z,177,602
20191031T05Z,175,576
20191031T04Z,200,634
20191031T03Z,201,639
20191031T02Z,200,791
20191031T01Z,200,847
20191031T00Z,200,846
20191030T23Z,202,842
20191030T22Z,201,782
20191030T21Z,202,787
20191030T20Z,201,806
20191030T19Z,201,808
20191030T18Z,201,761
20191030T17Z,199,755
20191030T16Z,196,658
20191030T15Z,201,654
20191030T14Z,202,653
20191030T13Z,201,658
20191030T12Z,200,654
20191030T11Z,182,658
20191030T10Z,179,661
20191030T09Z,174,655
20191030T08Z,175,657
20191030T07Z,175,656
20191030T06Z,175,660
20191030T05Z,175,646
20191030T04Z,176,649
20191030T03Z,199,649
20191030T02Z,201,650
20191030T01Z,200,875
20191030T00Z,201,931
20191029T23Z,201,765
20191029T22Z,201,651
20191029T21Z,200,652
20191029T20Z,201,653
20191029T19Z,201,652
20191029T18Z,201,653
20191029T17Z,201,713
20191029T16Z,202,952
20191029T15Z,200,972
20191029T14Z,201,1002
20191029T13Z,199,1036
20191029T12Z,200,861
20191029T11Z,197,615
20191029T10Z,176,606
20191029T09Z,175,607
20191029T08Z,175,605
20191029T07Z,175,608
20191029T06Z,175,603
20191029T05Z,184,637
20191029T04Z,185,630
20191029T03Z,200,639
20191029T02Z,200,703
20191029T01Z,201,1005
20191029T00Z,201,995
20191028T23Z,201,754
20191028T22Z,201,645
20191028T21Z,200,642
20191028T20Z,201,641
20191028T19Z,201,639
20191028T18Z,199,639
20191028T17Z,200,741
20191028T16Z,199,877
20191028T15Z,201,936
20191028T14Z,201,912
20191028T13Z,201,908
20191028T12Z,200,702
20191028T11Z,189,666
20191028T10Z,186,664
20191028T09Z,182,670
20191028T08Z,182,667
20191028T07Z,182,671
20191028T06Z,182,667
20191028T05Z,178,671
20191028T04Z,178,670
20191028T03Z,186,669
20191028T02Z,194,666
20191028T01Z,196,666
20191028T00Z,195,668
20191027T23Z,195,671
20191027T22Z,190,728
20191027T21Z,190,637
20191027T20Z,188,578
20191027T19Z,186,578
20191027T18Z,184,579
20191027T17Z,184,579
20191027T16Z,187,576
20191027T15Z,186,576
20191027T14Z,185,577
20191027T13Z,182,577
20191027T12Z,178,622
20191027T11Z,176,618
20191027T10Z,175,620
20191027T09Z,175,616
20191027T08Z,175,619
20191027T07Z,176,619
20191027T06Z,175,622
20191027T05Z,177,620
20191027T04Z,177,623
20191027T03Z,189,619
20191027T02Z,197,618
20191027T01Z,200,620
20191027T00Z,200,621
20191026T23Z,200,614
20191026T22Z,200,674
20191026T21Z,200,653
20191026T20Z,200,595
20191026T19Z,198,596
20191026T18Z,193,594
20191026T17Z,196,594
20191026T16Z,195,597
20191026T15Z,194,595
20191026T14Z,191,593
20191026T13Z,188,617
20191026T12Z,184,617
20191026T11Z,177,618
20191026T10Z,175,619
20191026T09Z,174,623
20191026T08Z,176,624
20191026T07Z,175,625
20191026T06Z,195,621
20191026T05Z,179,626
20191026T04Z,181,621
20191026T03Z,199,625
20191026T02Z,200,693
20191026T01Z,201,989
20191026T00Z,201,986
20191025T23Z,201,692
20191025T22Z,200,634
20191025T21Z,201,584
20191025T20Z,200,531
20191025T19Z,201,529
20191025T18Z,200,537
20191025T17Z,201,532
20191025T16Z,201,590
20191025T15Z,200,672
20191025T14Z,201,670
20191025T13Z,200,862
20191025T12Z,200,776
20191025T11Z,185,624
20191025T10Z,183,563
20191025T09Z,181,562
20191025T08Z,179,562
20191025T07Z,179,564
20191025T06Z,180,567
20191025T05Z,183,564
20191025T04Z,185,593
20191025T03Z,189,624
20191025T02Z,194,765
20191025T01Z,199,1012
20191025T00Z,200,970
20191024T23Z,200,986
20191024T22Z,200,726
20191024T21Z,200,670
20191024T20Z,200,664
20191024T19Z,201,661
20191024T18Z,201,604
20191024T17Z,200,601
20191024T16Z,201,603
20191024T15Z,200,609
20191024T14Z,201,601
20191024T13Z,195,589
20191024T12Z,195,614
20191024T11Z,188,610
20191024T10Z,187,615
20191024T09Z,185,610
20191024T08Z,183,613
20191024T07Z,183,611
20191024T06Z,182,615
20191024T05Z,179,666
20191024T04Z,181,672
20191024T03Z,183,703
20191024T02Z,188,707
20191024T01Z,199,886
20191024T00Z,200,859
20191023T23Z,200,832
20191023T22Z,200,638
20191023T21Z,200,639
20191023T20Z,200,538
20191023T19Z,199,537
20191023T18Z,192,539
20191023T17Z,192,536
20191023T16Z,193,536
20191023T15Z,200,539
20191023T14Z,200,632
20191023T13Z,200,660
20191023T12Z,199,617
20191023T11Z,186,669
20191023T10Z,183,700
20191023T09Z,180,700
20191023T08Z,180,703
20191023T07Z,179,698
20191023T06Z,180,670
20191023T05Z,184,641
20191023T04Z,186,671
20191023T03Z,188,673
20191023T02Z,191,675
20191023T01Z,200,995
20191023T00Z,200,998
20191022T23Z,201,970
20191022T22Z,199,764
20191022T21Z,201,723
20191022T20Z,200,669
20191022T19Z,200,666
20191022T18Z,194,667
20191022T17Z,194,665
20191022T16Z,194,664
20191022T15Z,193,618
20191022T14Z,194,565
20191022T13Z,194,540
20191022T12Z,192,539
20191022T11Z,187,541
20191022T10Z,184,538
20191022T09Z,182,538
20191022T08Z,182,537
20191022T07Z,183,541
20191022T06Z,183,540
20191022T05Z,176,570
20191022T04Z,176,572
20191022T03Z,175,578
20191022T02Z,188,635
20191022T01Z,201,709
20191022T00Z,201,741
20191021T23Z,200,792
20191021T22Z,200,701
20191021T21Z,199,652
20191021T20Z,201,647
20191021T19Z,200,654
20191021T18Z,194,651
20191021T17Z,176,637
20191021T16Z,200,630
20191021T15Z,201,598
20191021T14Z,202,545
20191021T13Z,199,477
20191021T12Z,175,476
20191021T11Z,175,504
20191021T10Z,174,507
20191021T09Z,174,556
20191021T08Z,173,529
20191021T07Z,174,551
20191021T06Z,174,564
20191021T05Z,175,592
20191021T04Z,201,594
20191021T03Z,200,596
20191021T02Z,201,706
20191021T01Z,201,731
20191021T00Z,201,734
20191020T23Z,201,736
20191020T22Z,200,736
20191020T21Z,183,681
20191020T20Z,181,676
20191020T19Z,176,676
20191020T18Z,175,678
20191020T17Z,176,651
20191020T16Z,175,617
20191020T15Z,184,615
20191020T14Z,186,617
20191020T13Z,176,601
20191020T12Z,176,536
20191020T11Z,174,538
20191020T10Z,174,537
20191020T09Z,174,581
20191020T08Z,174,593
20191020T07Z,174,594
20191020T06Z,174,595
20191020T05Z,175,592
20191020T04Z,174,592
20191020T03Z,200,622
20191020T02Z,201,750
20191020T01Z,200,882
20191020T00Z,200,1071
20191019T23Z,201,909
20191019T22Z,200,900
20191019T21Z,200,805
20191019T20Z,202,648
20191019T19Z,201,615
20191019T18Z,201,616
20191019T17Z,200,615
20191019T16Z,191,618
20191019T15Z,191,614
20191019T14Z,191,603
20191019T13Z,176,537
20191019T12Z,175,536
20191019T11Z,174,539
20191019T10Z,174,537
20191019T09Z,175,537
20191019T08Z,174,583
20191019T07Z,175,592
20191019T06Z,174,593
20191019T05Z,174,593
20191019T04Z,200,635
20191019T03Z,201,634
20191019T02Z,200,665
20191019T01Z,201,710
20191019T00Z,200,707
20191018T23Z,200,712
20191018T22Z,200,715
20191018T21Z,195,659
20191018T20Z,200,656
20191018T19Z,200,664
20191018T18Z,200,683
20191018T17Z,185,693
20191018T16Z,200,704
20191018T15Z,200,700
20191018T14Z,200,701
20191018T13Z,185,687
20191018T12Z,185,689
20191018T11Z,176,655
20191018T10Z,175,549
20191018T09Z,175,598
20191018T08Z,175,606
20191018T07Z,175,606
20191018T06Z,175,610
20191018T05Z,175,663
20191018T04Z,176,662
20191018T03Z,176,666
20191018T02Z,178,746
20191018T01Z,198,773
20191018T00Z,199,773
20191017T23Z,200,777
20191017T22Z,199,786
20191017T21Z,201,706
20191017T20Z,200,706
20191017T19Z,200,707
20191017T18Z,200,703
20191017T17Z,201,708
20191017T16Z,200,699
20191017T15Z,200,662
20191017T14Z,200,658
20191017T13Z,200,646
20191017T12Z,179,682
20191017T11Z,177,611
20191017T10Z,175,608
20191017T09Z,175,656
20191017T08Z,174,663
20191017T07Z,175,662
20191017T06Z,175,665
20191017T05Z,178,605
20191017T04Z,182,605
20191017T03Z,177,712
20191017T02Z,180,747
20191017T01Z,199,923
20191017T00Z,200,859
20191016T23Z,201,769
20191016T22Z,202,754
20191016T21Z,201,696
20191016T20Z,201,697
20191016T19Z,201,696
20191016T18Z,201,689
20191016T17Z,201,707
20191016T16Z,201,914
20191016T15Z,199,789
20191016T14Z,182,700
20191016T13Z,181,684
20191016T12Z,181,655
20191016T11Z,181,622
20191016T10Z,179,581
20191016T09Z,176,604
20191016T08Z,176,605
20191016T07Z,177,606
20191016T06Z,177,605
20191016T05Z,185,681
20191016T04Z,188,684
20191016T03Z,190,682
20191016T02Z,191,692
20191016T01Z,201,687
20191016T00Z,200,689
20191015T23Z,201,689
20191015T22Z,200,706
20191015T21Z,201,700
20191015T20Z,200,653
20191015T19Z,199,646
20191015T18Z,194,645
20191015T17Z,192,657
20191015T16Z,192,659
20191015T15Z,190,703
20191015T14Z,187,619
20191015T13Z,186,607
20191015T12Z,187,671
20191015T11Z,186,701
20191015T10Z,184,701
20191015T09Z,183,702
20191015T08Z,182,703
20191015T07Z,184,696
20191015T06Z,184,699
20191015T05Z,175,699
20191015T04Z,176,694
20191015T03Z,175,695
20191015T02Z,175,751
20191015T01Z,178,754
20191015T00Z,180,775
20191014T23Z,200,845
20191014T22Z,200,788
20191014T21Z,200,759
20191014T20Z,200,670
20191014T19Z,199,621
20191014T18Z,188,614
20191014T17Z,187,612
20191014T16Z,187,615
20191014T15Z,187,611
20191014T14Z,186,612
20191014T13Z,176,610
20191014T12Z,176,609
20191014T11Z,175,614
20191014T10Z,175,614
20191014T09Z,175,617
20191014T08Z,175,617
20191014T07Z,175,621
20191014T06Z,176,619
20191014T05Z,178,627
20191014T04Z,178,680
20191014T03Z,179,675
20191014T02Z,186,678
20191014T01Z,200,736
20191014T00Z,197,738
20191013T23Z,194,741
20191013T22Z,192,682
20191013T21Z,196,685
20191013T20Z,197,679
20191013T19Z,182,669
20191013T18Z,176,644
20191013T17Z,176,613
20191013T16Z,179,613
20191013T15Z,180,612
20191013T14Z,180,649
20191013T13Z,179,611
20191013T12Z,178,610
20191013T11Z,178,610
20191013T10Z,175,612
20191013T09Z,175,575
20191013T08Z,175,578
20191013T07Z,175,574
20191013T06Z,175,562
20191013T05Z,175,576
20191013T04Z,176,575
20191013T03Z,175,584
20191013T02Z,180,649
20191013T01Z,201,648
20191013T00Z,200,650
20191012T23Z,199,653
20191012T22Z,189,645
20191012T21Z,184,665
20191012T20Z,179,613
20191012T19Z,179,649
20191012T18Z,177,635
20191012T17Z,152,612
20191012T16Z,150,612
20191012T15Z,150,605
20191012T14Z,150,611
20191012T13Z,152,616
20191012T12Z,151,582
20191012T11Z,126,576
20191012T10Z,127,579
20191012T09Z,125,576
20191012T08Z,126,578
20191012T07Z,125,582
20191012T06Z,126,583
20191012T05Z,125,615
20191012T04Z,125,618
20191012T03Z,126,621
20191012T02Z,125,681
20191012T01Z,126,953
20191012T00Z,124,703
20191011T23Z,125,701
20191011T22Z,125,703
20191011T21Z,125,687
20191011T20Z,126,685
20191011T19Z,126,677
20191011T18Z,127,652
20191011T17Z,126,609
20191011T16Z,92,611
20191011T15Z,90,615
20191011T14Z,77,608
20191011T13Z,76,603
20191011T12Z,52,610
20191011T11Z,30,602
20191011T10Z,1,583
20191011T09Z,0,584
20191011T08Z,0,587
20191011T07Z,0,582
20191011T06Z,0,633
20191011T05Z,0,653
20191011T04Z,0,650
20191011T03Z,0,674
20191011T02Z,0,698
20191011T01Z,0,701
20191011T00Z,0,699
20191010T23Z,0,700
20191010T22Z,0,747
20191010T21Z,0,711
20191010T20Z,0,630
20191010T19Z,0,627
20191010T18Z,0,627
20191010T17Z,0,629
20191010T16Z,0,629
20191010T15Z,0,616
20191010T14Z,0,643
20191010T13Z,0,608
20191010T12Z,0,608
20191010T11Z,0,614
20191010T10Z,0,615
20191010T09Z,0,613
20191010T08Z,0,669
20191010T07Z,0,670
20191010T06Z,0,679
20191010T05Z,0,640
20191010T04Z,0,635
20191010T03Z,0,639
20191010T02Z,0,644
20191010T01Z,0,640
20191010T00Z,0,687
20191009T23Z,0,808
20191009T22Z,71,724
20191009T21Z,90,712
20191009T20Z,124,612
20191009T19Z,126,609
20191009T18Z,145,580
20191009T17Z,174,582
20191009T16Z,200,627
20191009T15Z,213,623
20191009T14Z,212,648
20191009T13Z,211,594
20191009T12Z,209,619
20191009T11Z,206,609
20191009T10Z,185,599
20191009T09Z,183,600
20191009T08Z,183,601
20191009T07Z,185,599
20191009T06Z,184,606
20191009T05Z,192,602
20191009T04Z,196,604
20191009T03Z,196,604
20191009T02Z,199,601
20191009T01Z,213,598
20191009T00Z,213,602
20191008T23Z,215,672
20191008T22Z,235,814
20191008T21Z,235,807
20191008T20Z,235,706
20191008T19Z,234,741
20191008T18Z,206,665
20191008T17Z,202,676
20191008T16Z,202,675
20191008T15Z,202,570
20191008T14Z,201,570
20191008T13Z,199,566
20191008T12Z,200,566
20191008T11Z,195,548
20191008T10Z,194,550
20191008T09Z,193,554
20191008T08Z,192,550
20191008T07Z,192,554
20191008T06Z,193,553
20191008T05Z,193,559
20191008T04Z,194,552
20191008T03Z,197,556
20191008T02Z,200,573
20191008T01Z,228,572
20191008T00Z,228,563
20191007T23Z,228,646
20191007T22Z,230,609
20191007T21Z,236,767
20191007T20Z,235,683
20191007T19Z,235,575
20191007T18Z,235,523
20191007T17Z,221,515
20191007T16Z,220,599
20191007T15Z,219,591
20191007T14Z,217,596
20191007T13Z,213,594
20191007T12Z,201,595
20191007T11Z,195,596
20191007T10Z,193,597
20191007T09Z,192,650
20191007T08Z,193,656
20191007T07Z,193,656
20191007T06Z,192,659
20191007T05Z,188,670
20191007T04Z,189,668
20191007T03Z,189,674
20191007T02Z,216,713
20191007T01Z,220,720
20191007T00Z,235,708
20191006T23Z,234,747
20191006T22Z,234,700
20191006T21Z,235,693
20191006T20Z,234,682
20191006T19Z,232,649
20191006T18Z,209,619
20191006T17Z,209,560
20191006T16Z,209,556
20191006T15Z,186,560
20191006T14Z,184,560
20191006T13Z,181,561
20191006T12Z,181,561
20191006T11Z,180,556
20191006T10Z,181,560
20191006T09Z,180,557
20191006T08Z,180,561
20191006T07Z,182,560
20191006T06Z,182,566
20191006T05Z,189,611
20191006T04Z,190,610
20191006T03Z,194,614
20191006T02Z,222,668
20191006T01Z,234,666
20191006T00Z,235,700
20191005T23Z,234,751
20191005T22Z,234,733
20191005T21Z,234,699
20191005T20Z,221,714
20191005T19Z,219,709
20191005T18Z,213,709
20191005T17Z,211,622
20191005T16Z,190,618
20191005T15Z,187,562
20191005T14Z,186,566
20191005T13Z,185,562
20191005T12Z,185,566
20191005T11Z,185,575
20191005T10Z,184,571
20191005T09Z,183,569
20191005T08Z,185,560
20191005T07Z,184,561
20191005T06Z,185,562
20191005T05Z,193,617
20191005T04Z,195,636
20191005T03Z,196,681
20191005T02Z,204,708
20191005T01Z,232,711
20191005T00Z,233,710
20191004T23Z,235,707
20191004T22Z,234,731
20191004T21Z,235,770
20191004T20Z,235,734
20191004T19Z,235,674
20191004T18Z,228,672
20191004T17Z,223,616
20191004T16Z,222,592
20191004T15Z,222,589
20191004T14Z,201,595
20191004T13Z,200,598
20191004T12Z,200,630
20191004T11Z,198,620
20191004T10Z,194,627
20191004T09Z,195,622
20191004T08Z,194,624
20191004T07Z,196,621
20191004T06Z,195,629
20191004T05Z,200,685
20191004T04Z,203,684
20191004T03Z,207,688
20191004T02Z,229,704
20191004T01Z,235,709
20191004T00Z,236,709
20191003T23Z,234,792
20191003T22Z,234,945
20191003T21Z,234,949
20191003T20Z,235,899
20191003T19Z,234,730
20191003T18Z,234,716
20191003T17Z,234,592
20191003T16Z,235,557
20191003T15Z,235,558
20191003T14Z,232,552
20191003T13Z,211,585
20191003T12Z,205,587
20191003T11Z,201,588
20191003T10Z,201,591
20191003T09Z,201,588
20191003T08Z,201,585
20191003T07Z,202,582
20191003T06Z,203,587
20191003T05Z,205,672
20191003T04Z,208,676
20191003T03Z,220,669
20191003T02Z,235,666
20191003T01Z,235,664
20191003T00Z,235,875
20191002T23Z,235,1119
20191002T22Z,234,1127
20191002T21Z,234,1130
20191002T20Z,234,1126
20191002T19Z,234,1126
20191002T18Z,234,824
20191002T17Z,234,581
20191002T16Z,233,568
20191002T15Z,233,611
20191002T14Z,218,630
20191002T13Z,210,666
20191002T12Z,204,662
20191002T11Z,201,670
20191002T10Z,200,669
20191002T09Z,200,665
20191002T08Z,201,667
20191002T07Z,202,664
20191002T06Z,201,668
20191002T05Z,203,727
20191002T04Z,208,725
20191002T03Z,219,724
20191002T02Z,234,728
20191002T01Z,235,729
20191002T00Z,235,871
20191001T23Z,235,1144
20191001T22Z,235,1149
20191001T21Z,235,1155
20191001T20Z,235,1123
20191001T19Z,234,741
20191001T18Z,235,727
20191001T17Z,235,676
20191001T16Z,234,677
20191001T15Z,230,674
20191001T14Z,218,674
20191001T13Z,210,684
20191001T12Z,204,685
20191001T11Z,200,693
20191001T10Z,200,690
20191001T09Z,199,693
20191001T08Z,199,689
20191001T07Z,199,692
20191001T06Z,202,696
20191001T05Z,212,737
20191001T04Z,219,739
20191001T03Z,233,743
20191001T02Z,234,752
20191001T01Z,234,747
20191001T00Z,235,750
20190930T23Z,234,1133
20190930T22Z,235,1203
20190930T21Z,235,1046
20190930T20Z,235,857
20190930T19Z,235,742
20190930T18Z,235,733
20190930T17Z,236,677
20190930T16Z,235,672
20190930T15Z,235,665
20190930T14Z,235,667
20190930T13Z,235,670
20190930T12Z,230,671
20190930T11Z,214,670
20190930T10Z,212,671
20190930T09Z,210,672
20190930T08Z,211,672
20190930T07Z,210,672
20190930T06Z,210,676
20190930T05Z,233,734
20190930T04Z,234,737
20190930T03Z,232,733
20190930T02Z,220,731
20190930T01Z,235,732
20190930T00Z,235,733
20190929T23Z,235,739
20190929T22Z,235,730
20190929T21Z,235,771
20190929T20Z,235,779
20190929T19Z,234,776
20190929T18Z,224,771
20190929T17Z,218,710
20190929T16Z,214,703
20190929T15Z,209,707
20190929T14Z,206,643
20190929T13Z,234,583
20190929T12Z,231,577
20190929T11Z,203,577
20190929T10Z,202,581
20190929T09Z,201,582
20190929T08Z,202,582
20190929T07Z,202,585
20190929T06Z,204,584
20190929T05Z,209,640
20190929T04Z,211,645
20190929T03Z,213,701
20190929T02Z,217,701
20190929T01Z,235,699
20190929T00Z,235,702
20190928T23Z,235,710
20190928T22Z,235,746
20190928T21Z,236,751
20190928T20Z,236,712
20190928T19Z,236,713
20190928T18Z,235,707
20190928T17Z,235,648
20190928T16Z,233,650
20190928T15Z,212,650
20190928T14Z,207,644
20190928T13Z,206,581
20190928T12Z,206,579
20190928T11Z,205,573
20190928T10Z,204,568
20190928T09Z,205,572
20190928T08Z,205,574
20190928T07Z,206,576
20190928T06Z,208,575
20190928T05Z,212,604
20190928T04Z,217,608
20190928T03Z,220,669
20190928T02Z,224,692
20190928T01Z,234,692
20190928T00Z,235,694
20190927T23Z,235,836
20190927T22Z,234,1009
20190927T21Z,234,783
20190927T20Z,235,735
20190927T19Z,234,733
20190927T18Z,234,735
20190927T17Z,234,676
20190927T16Z,234,675
20190927T15Z,235,673
20190927T14Z,233,669
20190927T13Z,213,644
20190927T12Z,210,648
20190927T11Z,209,589
20190927T10Z,205,591
20190927T09Z,205,591
20190927T08Z,205,587
20190927T07Z,206,588
20190927T06Z,206,587
20190927T05Z,207,638
20190927T04Z,212,629
20190927T03Z,216,678
20190927T02Z,235,675
20190927T01Z,235,677
20190927T00Z,235,682
20190926T23Z,234,688
20190926T22Z,234,1092
20190926T21Z,235,987
20190926T20Z,235,753
20190926T19Z,237,740
20190926T18Z,235,744
20190926T17Z,236,681
20190926T16Z,235,688
20190926T15Z,235,683
20190926T14Z,233,640
20190926T13Z,215,636
20190926T12Z,213,639
20190926T11Z,209,617
20190926T10Z,209,587
20190926T09Z,208,588
20190926T08Z,209,585
20190926T07Z,208,582
20190926T06Z,211,589
20190926T05Z,210,740
20190926T04Z,215,749
20190926T03Z,218,747
20190926T02Z,234,743
20190926T01Z,234,749
20190926T00Z,235,759
20190925T23Z,235,987
20190925T22Z,234,1084
