,coal,natural gas,petroleum,other,solar,hydro
20191218T00-05,59,69.0,,8,0,78
20191217T23-05,70,73.0,,9,0,76
20191217T22-05,69,92.0,,9,0,76
20191217T21-05,70,99.0,,9,0,78
20191217T20-05,70,97.0,,0,9,76
20191217T19-05,69,93.0,,-1,9,76
20191217T18-05,66,72.0,,0,9,78
20191217T17-05,47,68.0,,-1,9,76
20191217T16-05,46,70.0,,0,10,78
20191217T15-05,47,67.0,,-1,9,76
20191217T14-05,48,67.0,,0,9,76
20191217T13-05,45,68.0,,-1,9,78
20191217T12-05,46,68.0,,0,9,76
20191217T11-05,47,66.0,,-1,9,76
20191217T10-05,45,67.0,,0,10,76
20191217T09-05,48,67.0,,0,9,76
20191217T08-05,46,68.0,,-1,9,76
20191217T07-05,46,2.0,,9,0,76
20191217T06-05,46,-1.0,,8,0,76
20191217T05-05,46,-2.0,,10,0,77
20191217T04-05,46,-2.0,,8,0,77
20191217T03-05,46,-2.0,,9,0,76
20191217T02-05,46,-1.0,,8,0,75
20191217T01-05,46,-2.0,,10,0,75
20191217T00-05,52,-1.0,,9,0,76
20191216T23-05,107,68.0,,8,0,76
20191216T22-05,130,125.0,,8,0,76
20191216T21-05,166,120.0,,10,0,76
20191216T20-05,177,134.0,,0,9,76
20191216T19-05,152,160.0,,0,9,76
20191216T18-05,75,82.0,,0,9,76
20191216T17-05,49,67.0,,0,10,76
20191216T16-05,48,68.0,,0,9,76
20191216T15-05,47,68.0,,0,9,77
20191216T14-05,48,68.0,,0,9,76
20191216T13-05,48,68.0,,0,10,77
20191216T12-05,48,68.0,,0,9,76
20191216T11-05,53,81.0,,0,9,76
20191216T10-05,92,89.0,,0,9,76
20191216T09-05,137,135.0,,0,10,76
20191216T08-05,106,77.0,,0,9,76
20191216T07-05,47,140.0,,9,0,76
20191216T06-05,46,68.0,,10,0,76
20191216T05-05,45,68.0,,9,0,77
20191216T04-05,46,70.0,,8,0,76
20191216T03-05,47,69.0,,9,0,76
20191216T02-05,51,88.0,,10,0,75
20191216T01-05,51,99.0,,9,0,76
20191216T00-05,53,103.0,,9,0,76
20191215T23-05,51,131.0,,9,0,76
20191215T22-05,133,154.0,,10,0,76
20191215T21-05,123,172.0,,9,0,76
20191215T20-05,58,169.0,,0,9,76
20191215T19-05,49,135.0,,0,9,77
20191215T18-05,51,116.0,,-1,10,76
20191215T17-05,51,60.0,,0,9,77
20191215T16-05,50,-1.0,,0,9,76
20191215T15-05,52,-2.0,,0,10,76
20191215T14-05,51,-2.0,,0,9,76
20191215T13-05,69,26.0,,0,8,76
20191215T12-05,75,68.0,,0,8,76
20191215T11-05,70,69.0,,0,9,76
20191215T10-05,76,80.0,,0,9,76
20191215T09-05,89,145.0,,-1,9,77
20191215T08-05,85,166.0,,-1,9,76
20191215T07-05,49,128.0,,9,0,76
20191215T06-05,46,111.0,,8,0,76
20191215T05-05,45,84.0,,9,0,77
20191215T04-05,47,80.0,,8,0,77
20191215T03-05,45,74.0,,9,0,77
20191215T02-05,46,72.0,,8,0,75
20191215T01-05,45,70.0,,8,0,76
20191215T00-05,46,79.0,,8,0,77
20191214T23-05,45,103.0,,8,0,77
20191214T22-05,46,112.0,,9,0,77
20191214T21-05,45,114.0,,8,0,76
20191214T20-05,47,111.0,,0,9,77
20191214T19-05,45,110.0,,-1,9,77
20191214T18-05,46,99.0,,0,9,76
20191214T17-05,47,73.0,,-1,9,78
20191214T16-05,45,67.0,,0,9,76
20191214T15-05,46,70.0,,-1,9,77
20191214T14-05,46,70.0,,0,9,77
20191214T13-05,46,70.0,,-1,9,76
20191214T12-05,46,71.0,,0,9,76
20191214T11-05,46,92.0,,-1,8,76
20191214T10-05,45,100.0,,0,9,77
20191214T09-05,46,97.0,,-1,9,76
20191214T08-05,46,71.0,,-1,9,76
20191214T07-05,46,68.0,,9,0,76
20191214T06-05,45,69.0,,8,0,76
20191214T05-05,46,69.0,,10,0,68
20191214T04-05,47,68.0,,8,0,43
20191214T03-05,46,68.0,,9,0,43
20191214T02-05,45,69.0,,8,0,42
20191214T01-05,46,69.0,,8,0,42
20191214T00-05,45,74.0,,9,0,43
20191213T23-05,77,95.0,,8,0,43
20191213T22-05,168,70.0,,9,0,43
20191213T21-05,183,78.0,,8,0,43
20191213T20-05,183,118.0,,-1,9,43
20191213T19-05,179,124.0,,0,9,43
20191213T18-05,179,164.0,,-1,9,74
20191213T17-05,179,167.0,,0,9,76
20191213T16-05,178,141.0,,-1,9,76
20191213T15-05,180,128.0,,0,9,77
20191213T14-05,179,150.0,,-1,9,76
20191213T13-05,178,151.0,,-1,9,77
20191213T12-05,180,144.0,,0,9,76
20191213T11-05,179,152.0,,-1,9,76
20191213T10-05,179,151.0,,0,8,46
20191213T09-05,179,136.0,,-1,9,57
20191213T08-05,179,119.0,,-1,9,76
20191213T07-05,177,75.0,,9,0,76
20191213T06-05,122,70.0,,8,0,76
20191213T05-05,83,68.0,,9,0,77
20191213T04-05,72,67.0,,8,0,77
20191213T03-05,70,67.0,,8,0,76
20191213T02-05,89,67.0,,9,0,76
20191213T01-05,143,67.0,,8,0,76
20191213T00-05,184,68.0,,7,0,77
20191212T23-05,183,78.0,,9,0,77
20191212T22-05,185,73.0,,8,0,76
20191212T21-05,183,110.0,,8,0,77
20191212T20-05,179,181.0,,0,9,77
20191212T19-05,175,182.0,,-1,9,76
20191212T18-05,174,153.0,,-1,9,78
20191212T17-05,158,119.0,,0,9,76
20191212T16-05,123,74.0,,-1,9,77
20191212T15-05,121,69.0,,0,9,77
20191212T14-05,136,92.0,,-1,9,76
20191212T13-05,138,139.0,,-1,9,77
20191212T12-05,177,265.0,,0,9,76
20191212T11-05,179,397.0,,-1,8,76
20191212T10-05,179,444.0,,-1,9,77
20191212T09-05,179,531.0,,0,9,75
20191212T08-05,178,463.0,,-1,9,76
20191212T07-05,178,339.0,,9,0,77
20191212T06-05,179,205.0,,8,0,76
20191212T05-05,179,156.0,,8,0,76
20191212T04-05,178,90.0,,9,0,76
20191212T03-05,179,69.0,,8,0,76
20191212T02-05,178,69.0,,8,0,75
20191212T01-05,180,69.0,,9,0,75
20191212T00-05,179,70.0,,8,0,76
20191211T23-05,179,97.0,,9,0,76
20191211T22-05,172,139.0,,8,0,76
20191211T21-05,170,159.0,,8,0,76
20191211T20-05,169,160.0,,0,9,78
20191211T19-05,168,155.0,,-1,10,76
20191211T18-05,169,109.0,,0,9,76
20191211T17-05,146,70.0,,-1,9,76
20191211T16-05,126,67.0,,-1,9,76
20191211T15-05,118,99.0,,-3,9,76
20191211T14-05,53,402.0,,-3,9,76
20191211T13-05,59,425.0,,-4,9,76
20191211T12-05,102,421.0,,-3,9,76
20191211T11-05,141,360.0,,-4,9,76
20191211T10-05,175,255.0,,-3,9,76
20191211T09-05,174,275.0,,-4,8,76
20191211T08-05,173,194.0,,-3,9,78
20191211T07-05,152,231.0,,7,0,76
20191211T06-05,65,292.0,,6,0,76
20191211T05-05,46,272.0,,6,0,76
20191211T04-05,45,193.0,,6,0,76
20191211T03-05,46,192.0,,6,0,76
20191211T02-05,45,194.0,,6,0,76
20191211T01-05,47,197.0,,6,0,76
20191211T00-05,63,197.0,,5,0,76
20191210T23-05,156,203.0,,6,0,76
20191210T22-05,183,203.0,,6,0,76
20191210T21-05,185,201.0,,5,0,76
20191210T20-05,182,266.0,,-3,9,76
20191210T19-05,176,306.0,,-3,9,76
20191210T18-05,139,304.0,,-3,10,76
20191210T17-05,122,263.0,,-3,9,76
20191210T16-05,121,148.0,,-3,9,76
20191210T15-05,77,147.0,,-3,10,77
20191210T14-05,47,186.0,,64,9,76
20191210T13-05,47,263.0,,94,10,77
20191210T12-05,53,253.0,,93,9,76
20191210T11-05,48,265.0,,93,9,74
20191210T10-05,47,276.0,,93,8,73
20191210T09-05,46,285.0,,93,9,74
20191210T08-05,47,292.0,,92,9,74
20191210T07-05,47,188.0,,99,0,74
20191210T06-05,46,120.0,,78,0,74
20191210T05-05,48,117.0,,78,0,75
20191210T04-05,47,117.0,,79,0,60
20191210T03-05,47,119.0,,78,0,23
20191210T02-05,47,117.0,,78,0,9
20191210T01-05,48,118.0,,78,0,10
20191210T00-05,47,118.0,,78,0,11
20191209T23-05,101,150.0,,79,0,17
20191209T22-05,172,188.0,,78,0,74
20191209T21-05,180,192.0,,78,0,74
20191209T20-05,181,191.0,,70,9,74
20191209T19-05,178,232.0,,86,8,76
20191209T18-05,173,270.0,,93,9,74
20191209T17-05,120,265.0,,92,9,18
20191209T16-05,133,253.0,,92,8,10
20191209T15-05,173,252.0,,93,9,11
20191209T14-05,176,279.0,,93,8,11
20191209T13-05,174,311.0,,93,9,10
20191209T12-05,176,333.0,,93,9,10
20191209T11-05,162,315.0,,94,8,65
20191209T10-05,157,314.0,,94,9,74
20191209T09-05,154,312.0,,95,8,74
20191209T08-05,126,331.0,,95,9,74
20191209T07-05,66,356.0,,103,0,74
20191209T06-05,47,251.0,,80,0,68
20191209T05-05,48,239.0,,79,0,5
20191209T04-05,52,236.0,,79,0,5
20191209T03-05,68,236.0,,79,0,5
20191209T02-05,67,239.0,,79,0,4
20191209T01-05,45,237.0,,78,0,4
20191209T00-05,74,225.0,,79,0,36
20191208T23-05,153,234.0,,78,0,73
20191208T22-05,175,237.0,,80,0,74
20191208T21-05,177,272.0,,79,0,74
20191208T20-05,174,266.0,,69,8,74
20191208T19-05,160,271.0,,71,9,74
20191208T18-05,110,285.0,,74,8,74
20191208T17-05,54,232.0,,80,9,18
20191208T16-05,47,237.0,,86,9,10
20191208T15-05,47,256.0,,94,8,11
20191208T14-05,47,259.0,,95,9,10
20191208T13-05,47,249.0,,90,9,10
20191208T12-05,48,235.0,,83,8,25
20191208T11-05,65,220.0,,77,9,67
20191208T10-05,115,270.0,,72,8,74
20191208T09-05,106,289.0,,69,9,74
20191208T08-05,77,283.0,,70,9,74
20191208T07-05,77,270.0,,79,0,74
20191208T06-05,90,243.0,,79,0,72
20191208T05-05,110,264.0,,79,0,8
20191208T04-05,133,228.0,,78,0,5
20191208T03-05,98,212.0,,80,0,5
20191208T02-05,89,203.0,,78,0,4
20191208T01-05,122,217.0,,79,0,4
20191208T00-05,134,239.0,,79,0,47
20191207T23-05,135,249.0,,78,0,74
20191207T22-05,134,249.0,,79,0,74
20191207T21-05,136,248.0,,79,0,74
20191207T20-05,135,226.0,,71,8,73
20191207T19-05,132,248.0,,86,9,74
20191207T18-05,70,309.0,,94,9,16
20191207T17-05,48,282.0,,94,8,10
20191207T16-05,48,253.0,,94,9,10
20191207T15-05,48,248.0,,87,9,40
20191207T14-05,48,256.0,,92,8,74
20191207T13-05,48,254.0,,94,9,73
20191207T12-05,47,257.0,,94,9,74
20191207T11-05,46,259.0,,95,8,73
20191207T10-05,78,262.0,,96,9,64
20191207T09-05,101,276.0,,97,8,74
20191207T08-05,52,314.0,,95,9,74
20191207T07-05,45,197.0,,81,0,74
20191207T06-05,43,187.0,,78,0,65
20191207T05-05,43,190.0,,79,0,36
20191207T04-05,43,188.0,,79,0,5
20191207T03-05,43,188.0,,78,0,5
20191207T02-05,43,187.0,,78,0,5
20191207T01-05,59,190.0,,79,0,4
20191207T00-05,105,187.0,,78,0,5
20191206T23-05,158,189.0,,79,0,5
20191206T22-05,176,237.0,,79,0,6
20191206T21-05,175,221.0,,78,0,12
20191206T20-05,174,199.0,,70,9,43
20191206T19-05,172,265.0,,88,9,42
20191206T18-05,171,300.0,,94,8,42
20191206T17-05,127,285.0,,94,9,53
20191206T16-05,102,256.0,,94,9,74
20191206T15-05,129,262.0,,94,8,75
20191206T14-05,129,335.0,,95,9,74
20191206T13-05,133,348.0,,95,9,75
20191206T12-05,172,314.0,,95,8,74
20191206T11-05,172,334.0,,96,9,74
20191206T10-05,171,352.0,,95,9,74
20191206T09-05,172,355.0,,96,8,74
20191206T08-05,172,359.0,,94,9,74
20191206T07-05,172,303.0,,82,0,74
20191206T06-05,172,285.0,,77,0,74
20191206T05-05,171,282.0,,77,0,12
20191206T04-05,172,282.0,,77,0,10
20191206T03-05,171,276.0,,76,0,11
20191206T02-05,172,256.0,,77,0,9
20191206T01-05,172,244.0,,78,0,33
20191206T00-05,171,217.0,,78,0,74
20191205T23-05,170,243.0,,80,0,74
20191205T22-05,190,312.0,,102,0,73
20191205T21-05,207,307.0,,104,0,74
20191205T20-05,215,297.0,,91,9,75
20191205T19-05,203,233.0,,89,9,73
20191205T18-05,133,184.0,,89,8,75
20191205T17-05,104,183.0,,90,9,74
20191205T16-05,100,183.0,,94,9,74
20191205T15-05,100,185.0,,93,9,74
20191205T14-05,100,234.0,,94,9,74
20191205T13-05,100,256.0,,94,8,74
20191205T12-05,100,258.0,,94,9,73
20191205T11-05,100,259.0,,95,9,75
20191205T10-05,157,262.0,,94,9,72
20191205T09-05,301,277.0,,72,9,74
20191205T08-05,326,220.0,,45,8,74
20191205T07-05,301,160.0,,15,0,74
20191205T06-05,190,88.0,,7,0,74
20191205T05-05,106,126.0,,7,0,74
20191205T04-05,107,190.0,,6,0,74
20191205T03-05,106,187.0,,6,0,74
20191205T02-05,109,186.0,,6,0,73
20191205T01-05,147,186.0,,6,0,73
20191205T00-05,224,187.0,,6,0,74
20191204T23-05,280,233.0,,6,0,74
20191204T22-05,270,284.0,,6,0,74
20191204T21-05,230,285.0,,7,0,74
20191204T20-05,238,284.0,,-3,9,74
20191204T19-05,237,270.0,,-3,9,74
20191204T18-05,222,264.0,,-2,9,75
20191204T17-05,177,227.0,,-3,9,75
20191204T16-05,172,186.0,,-3,9,74
20191204T15-05,171,187.0,,-3,9,74
20191204T14-05,173,184.0,,-2,9,74
20191204T13-05,173,186.0,,-3,9,74
20191204T12-05,173,188.0,,-3,9,72
20191204T11-05,174,190.0,,-2,9,75
20191204T10-05,226,119.0,,30,9,73
20191204T09-05,333,141.0,,11,9,74
20191204T08-05,342,174.0,,-2,9,74
20191204T07-05,340,154.0,,6,0,74
20191204T06-05,325,87.0,,7,0,74
20191204T05-05,322,118.0,,7,0,75
20191204T04-05,321,117.0,,7,0,75
20191204T03-05,320,117.0,,7,0,74
20191204T02-05,325,160.0,,7,0,73
20191204T01-05,333,188.0,,6,0,73
20191204T00-05,333,186.0,,7,0,76
20191203T23-05,330,212.0,,7,0,74
20191203T22-05,332,268.0,,8,0,74
20191203T21-05,299,258.0,,7,0,74
20191203T20-05,304,182.0,,-2,9,74
20191203T19-05,304,182.0,,-1,9,76
20191203T18-05,249,154.0,,-2,9,74
20191203T17-05,157,67.0,,-1,10,74
20191203T16-05,103,72.0,,-2,10,76
20191203T15-05,103,66.0,,-1,11,74
20191203T14-05,112,67.0,,0,11,74
20191203T13-05,137,68.0,,-1,12,74
20191203T12-05,166,68.0,,0,10,74
20191203T11-05,200,69.0,,-1,11,74
20191203T10-05,223,164.0,,0,11,74
20191203T09-05,237,321.0,,0,9,74
20191203T08-05,233,331.0,,-1,9,74
20191203T07-05,208,309.0,,10,0,74
20191203T06-05,201,188.0,,9,0,74
20191203T05-05,199,98.0,,9,0,74
20191203T04-05,192,147.0,,8,0,74
20191203T03-05,205,90.0,,10,0,74
20191203T02-05,206,77.0,,9,0,73
20191203T01-05,205,78.0,,9,0,73
20191203T00-05,204,82.0,,8,0,74
20191202T23-05,202,72.0,,9,0,73
20191202T22-05,202,95.0,,10,0,74
20191202T21-05,203,309.0,,8,0,74
20191202T20-05,204,295.0,,0,9,74
20191202T19-05,204,294.0,,0,9,74
20191202T18-05,197,337.0,,-1,10,74
20191202T17-05,162,333.0,,0,9,74
20191202T16-05,103,297.0,,0,10,74
20191202T15-05,89,298.0,,-1,11,74
20191202T14-05,65,298.0,,0,11,74
20191202T13-05,47,210.0,,0,11,74
20191202T12-05,46,195.0,,0,10,73
20191202T11-05,82,164.0,,-1,10,74
20191202T10-05,134,138.0,,0,10,74
20191202T09-05,145,238.0,,0,10,74
20191202T08-05,133,303.0,,-1,9,74
20191202T07-05,99,149.0,,9,0,74
20191202T06-05,72,144.0,,9,0,74
20191202T05-05,52,101.0,,9,0,74
20191202T04-05,51,68.0,,8,0,74
20191202T03-05,52,68.0,,9,0,74
20191202T02-05,53,12.0,,8,0,73
20191202T01-05,52,-1.0,,10,0,73
20191202T00-05,50,-1.0,0.0,8,0,74
20191201T23-05,48,61.0,5.0,9,0,74
20191201T22-05,50,79.0,117.0,8,0,74
20191201T21-05,49,78.0,123.0,9,0,74
20191201T20-05,50,103.0,188.0,-1,8,73
20191201T19-05,49,94.0,183.0,0,8,74
20191201T18-05,51,49.0,169.0,0,8,74
20191201T17-05,51,-1.0,134.0,-1,9,74
20191201T16-05,50,0.0,109.0,0,9,74
20191201T15-05,50,-1.0,78.0,-1,11,74
20191201T14-05,52,0.0,88.0,0,10,74
20191201T13-05,50,-1.0,99.0,-1,11,74
20191201T12-05,51,-1.0,87.0,0,10,73
20191201T11-05,48,0.0,22.0,0,11,75
20191201T10-05,48,-3.0,0.0,-1,9,74
20191201T09-05,47,-1.0,0.0,-1,9,74
20191201T08-05,47,-2.0,0.0,0,8,74
20191201T07-05,47,-1.0,0.0,8,0,74
20191201T06-05,47,-1.0,0.0,8,0,73
20191201T05-05,47,-2.0,0.0,7,0,74
20191201T04-05,47,-3.0,0.0,8,0,74
20191201T03-05,48,-1.0,0.0,8,0,74
20191201T02-05,47,-3.0,0.0,8,0,73
20191201T01-05,50,-2.0,0.0,8,0,73
20191201T00-05,49,-2.0,,8,0,46
20191130T23-05,51,30.0,,7,0,42
20191130T22-05,50,84.0,,9,0,43
20191130T21-05,103,247.0,,7,0,64
20191130T20-05,147,210.0,,0,9,74
20191130T19-05,149,217.0,,-1,9,73
20191130T18-05,75,204.0,,0,8,73
20191130T17-05,54,147.0,,-1,9,40
20191130T16-05,53,129.0,,0,9,17
20191130T15-05,53,80.0,,-1,9,67
20191130T14-05,53,68.0,,0,9,74
20191130T13-05,54,67.0,,-1,9,74
20191130T12-05,52,85.0,,-1,9,74
20191130T11-05,52,95.0,,0,8,74
20191130T10-05,51,92.0,,-1,9,74
20191130T09-05,53,77.0,,0,8,74
20191130T08-05,52,101.0,,-1,9,30
20191130T07-05,51,56.0,,8,0,10
20191130T06-05,53,-2.0,,8,0,10
20191130T05-05,53,-1.0,,7,0,11
20191130T04-05,54,-1.0,,9,0,17
20191130T03-05,55,-1.0,,8,0,5
20191130T02-05,56,-2.0,,8,0,4
20191130T01-05,57,-1.0,,8,0,5
20191130T00-05,63,-1.0,,8,0,11
20191129T23-05,86,-2.0,,8,0,43
20191129T22-05,87,53.0,,7,0,42
20191129T21-05,97,68.0,,9,0,43
20191129T20-05,116,125.0,,-1,8,42
20191129T19-05,107,181.0,,0,9,43
20191129T18-05,49,133.0,,-1,8,43
20191129T17-05,49,62.0,,-1,9,48
20191129T16-05,49,51.0,,0,9,74
20191129T15-05,51,2.0,,-1,9,76
20191129T14-05,49,-2.0,,0,10,74
20191129T13-05,49,-1.0,,-1,10,74
20191129T12-05,49,24.0,,0,11,74
20191129T11-05,50,70.0,,-1,10,74
20191129T10-05,49,67.0,,0,9,74
20191129T09-05,49,70.0,,-1,9,74
20191129T08-05,50,67.0,,-1,8,74
20191129T07-05,49,71.0,,9,0,74
20191129T06-05,49,68.0,,7,0,46
20191129T05-05,48,69.0,,9,0,42
20191129T04-05,50,68.0,,7,0,14
20191129T03-05,48,68.0,,9,0,10
20191129T02-05,50,68.0,,7,0,9
20191129T01-05,49,69.0,,9,0,9
20191129T00-05,51,68.0,,7,0,10
20191128T23-05,50,70.0,,8,0,10
20191128T22-05,51,70.0,,8,0,10
20191128T21-05,50,68.0,,8,0,61
20191128T20-05,51,69.0,,0,9,74
20191128T19-05,50,69.0,,-1,8,74
20191128T18-05,51,68.0,,0,9,74
20191128T17-05,51,67.0,,-1,9,74
20191128T16-05,51,69.0,,0,9,74
20191128T15-05,50,68.0,,-1,11,74
20191128T14-05,50,68.0,,-1,10,74
20191128T13-05,48,69.0,,0,11,74
20191128T12-05,51,79.0,,-1,11,74
20191128T11-05,49,103.0,,0,11,74
20191128T10-05,49,111.0,,-1,10,74
20191128T09-05,49,111.0,,0,9,74
20191128T08-05,49,81.0,,-1,9,74
20191128T07-05,47,69.0,,8,0,74
20191128T06-05,44,67.0,,8,0,45
20191128T05-05,44,68.0,,7,0,42
20191128T04-05,44,70.0,,9,0,42
20191128T03-05,45,69.0,,8,0,42
20191128T02-05,45,70.0,,8,0,47
20191128T01-05,46,68.0,,8,0,73
20191128T00-05,48,70.0,,9,0,74
20191127T23-05,52,68.0,,7,0,74
20191127T22-05,98,69.0,,9,0,74
20191127T21-05,149,69.0,,8,0,74
20191127T20-05,147,141.0,,0,9,74
20191127T19-05,137,167.0,,-1,8,74
20191127T18-05,78,149.0,,0,9,74
20191127T17-05,55,68.0,,-1,9,74
20191127T16-05,78,68.0,,0,10,74
20191127T15-05,94,68.0,,-1,10,74
20191127T14-05,94,71.0,,0,10,74
20191127T13-05,96,68.0,,0,10,74
20191127T12-05,123,66.0,,-1,10,74
20191127T11-05,153,69.0,,0,10,73
20191127T10-05,152,69.0,,-1,8,74
20191127T09-05,151,68.0,,0,9,74
20191127T08-05,149,68.0,,0,9,74
20191127T07-05,139,68.0,,7,0,74
20191127T06-05,70,68.0,,9,0,73
20191127T05-05,45,68.0,,8,0,9
20191127T04-05,49,69.0,,8,0,5
20191127T03-05,48,68.0,,8,0,5
20191127T02-05,51,67.0,,8,0,4
20191127T01-05,53,69.0,,9,0,4
20191127T00-05,63,75.0,,7,0,10
20191126T23-05,146,155.0,,9,0,69
20191126T22-05,156,172.0,,9,0,74
20191126T21-05,154,173.0,,7,0,74
20191126T20-05,155,173.0,,0,9,74
20191126T19-05,155,172.0,,-1,8,74
20191126T18-05,155,137.0,,0,9,74
20191126T17-05,152,93.0,,0,9,71
20191126T16-05,100,67.0,,-1,9,9
20191126T15-05,63,81.0,,0,9,5
20191126T14-05,71,102.0,,-1,9,5
20191126T13-05,59,67.0,,0,11,33
20191126T12-05,62,68.0,,0,9,74
20191126T11-05,74,68.0,,-1,10,74
20191126T10-05,146,138.0,,0,10,73
20191126T09-05,149,202.0,,-1,9,74
20191126T08-05,152,267.0,,0,8,74
20191126T07-05,152,325.0,,9,0,74
20191126T06-05,150,181.0,,8,0,74
20191126T05-05,106,83.0,,8,0,75
20191126T04-05,54,67.0,,8,0,74
20191126T03-05,68,68.0,,9,0,75
20191126T02-05,84,69.0,,8,0,74
20191126T01-05,84,68.0,,8,0,73
20191126T00-05,84,66.0,0.0,9,0,75
20191125T23-05,102,108.0,0.0,7,0,75
20191125T22-05,117,295.0,0.0,9,0,74
20191125T21-05,120,301.0,0.0,8,0,74
20191125T20-05,103,314.0,0.0,0,9,75
20191125T19-05,87,320.0,0.0,0,8,75
20191125T18-05,63,291.0,0.0,-1,9,74
20191125T17-05,51,263.0,0.0,0,9,74
20191125T16-05,50,205.0,0.0,-1,11,76
20191125T15-05,49,68.0,0.0,0,11,74
20191125T14-05,55,67.0,0.0,0,11,74
20191125T13-05,92,68.0,0.0,-1,11,76
20191125T12-05,93,68.0,0.0,0,12,74
20191125T11-05,98,88.0,0.0,-1,11,74
20191125T10-05,151,91.0,47.0,0,11,74
20191125T09-05,156,170.0,0.0,-1,9,73
20191125T08-05,156,340.0,0.0,0,9,75
20191125T07-05,156,307.0,0.0,9,0,37
20191125T06-05,154,102.0,0.0,8,0,11
20191125T05-05,154,128.0,0.0,8,0,10
20191125T04-05,155,73.0,0.0,9,0,10
20191125T03-05,131,71.0,0.0,9,0,10
20191125T02-05,123,67.0,0.0,8,0,9
20191125T01-05,148,68.0,0.0,9,0,9
20191125T00-05,153,67.0,,8,0,10
20191124T23-05,151,128.0,,9,0,10
20191124T22-05,152,158.0,,8,0,19
20191124T21-05,152,158.0,,9,0,74
20191124T20-05,153,158.0,,0,9,74
20191124T19-05,108,157.0,,0,9,74
20191124T18-05,47,159.0,,-1,9,74
20191124T17-05,47,96.0,,0,9,74
20191124T16-05,50,67.0,,0,10,74
20191124T15-05,48,151.0,,0,11,74
20191124T14-05,52,157.0,,-1,12,74
20191124T13-05,54,160.0,,0,11,74
20191124T12-05,83,157.0,,0,12,74
20191124T11-05,94,156.0,,-1,11,74
20191124T10-05,122,156.0,,0,10,74
20191124T09-05,144,157.0,,-1,9,74
20191124T08-05,96,124.0,,19,9,74
20191124T07-05,64,206.0,,83,0,74
20191124T06-05,59,204.0,,84,0,74
20191124T05-05,59,205.0,,84,0,74
20191124T04-05,60,203.0,,86,0,74
20191124T03-05,60,205.0,,84,0,74
20191124T02-05,59,205.0,,86,0,73
20191124T01-05,59,204.0,,86,0,73
20191124T00-05,59,283.0,,86,0,74
20191123T23-05,60,272.0,,84,0,73
20191123T22-05,57,344.0,,84,0,74
20191123T21-05,58,354.0,,84,0,74
20191123T20-05,59,365.0,,75,8,73
20191123T19-05,57,426.0,,75,9,74
20191123T18-05,59,439.0,,75,9,74
20191123T17-05,57,418.0,,74,9,75
20191123T16-05,58,415.0,,66,9,73
20191123T15-05,58,334.0,,45,9,74
20191123T14-05,58,336.0,,46,9,74
20191123T13-05,58,337.0,,45,9,74
20191123T12-05,57,372.0,,0,9,52
20191123T11-05,59,329.0,,0,8,42
20191123T10-05,57,205.0,,-1,9,42
20191123T09-05,59,106.0,,-1,8,42
20191123T08-05,58,201.0,,-1,8,42
20191123T07-05,58,183.0,,8,0,42
20191123T06-05,59,184.0,,7,0,15
20191123T05-05,57,184.0,,7,0,11
20191123T04-05,58,184.0,,8,0,10
20191123T03-05,58,183.0,,7,0,10
20191123T02-05,57,185.0,,6,0,10
20191123T01-05,59,183.0,,8,0,10
20191123T00-05,57,185.0,,7,0,10
20191122T23-05,78,183.0,,7,0,11
20191122T22-05,115,170.0,,8,0,15
20191122T21-05,114,169.0,,7,0,43
20191122T20-05,115,168.0,,-1,8,42
20191122T19-05,113,174.0,,-1,9,43
20191122T18-05,90,135.0,,-1,8,42
20191122T17-05,85,84.0,,-1,8,13
20191122T16-05,87,87.0,,-1,9,11
20191122T15-05,87,84.0,,-1,8,11
20191122T14-05,84,86.0,,-1,8,10
20191122T13-05,116,82.0,,-1,9,10
20191122T12-05,119,85.0,,-1,8,10
20191122T11-05,119,105.0,,27,8,11
20191122T10-05,118,84.0,,15,9,62
20191122T09-05,150,85.0,,2,8,74
20191122T08-05,150,137.0,,-1,8,74
20191122T07-05,144,172.0,,8,0,72
20191122T06-05,78,224.0,,6,0,8
20191122T05-05,58,214.0,,7,0,5
20191122T04-05,58,184.0,,8,0,5
20191122T03-05,58,186.0,,6,0,5
20191122T02-05,60,184.0,,7,0,4
20191122T01-05,114,184.0,,8,0,4
20191122T00-05,151,184.0,,7,0,5
20191121T23-05,147,258.0,,8,0,5
20191121T22-05,150,285.0,,7,0,9
20191121T21-05,151,283.0,,7,0,38
20191121T20-05,151,286.0,,-2,9,38
20191121T19-05,153,283.0,,-1,8,38
20191121T18-05,150,285.0,,-1,8,38
20191121T17-05,127,275.0,,-1,9,9
20191121T16-05,95,210.0,,-1,8,5
20191121T15-05,95,88.0,,-2,9,5
20191121T14-05,107,78.0,,-1,11,5
20191121T13-05,114,98.0,,0,10,5
20191121T12-05,136,97.0,,0,11,5
20191121T11-05,147,108.0,,-1,11,8
20191121T10-05,121,116.0,,0,10,61
20191121T09-05,138,299.0,,0,9,74
20191121T08-05,146,451.0,,-1,9,73
20191121T07-05,148,307.0,,8,0,69
20191121T06-05,146,282.0,,9,0,9
20191121T05-05,145,282.0,,7,0,5
20191121T04-05,147,281.0,,8,0,5
20191121T03-05,148,279.0,,8,0,5
20191121T02-05,149,274.0,,8,0,4
20191121T01-05,146,318.0,,8,0,4
20191121T00-05,148,353.0,,9,0,5
20191120T23-05,147,349.0,,7,0,5
